Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Germany,DEU,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,78.1669695,79.4162111,80.7471408,81.5087584,81.5900917,81.3517051,81.1243821,79.5011339,80.3006818,79.523299,78.1129713,78.4893499
Germany,DEU,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,82.236509,84.1249875,80.0916647,79.4663004,77.8895081,79.967946,78.3156599,77.5791167,77.1734509,74.9216757,74.5380247,68.0170742
France,FRA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,74.7683341,74.4007094,74.095044,75.026776,75.3123132,76.4426936,75.4248136,74.0468813,76.6545435,75.9023965,73.5063433,72.5135486
France,FRA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,78.300432,78.7018665,78.3487803,78.5863259,78.390549,78.0557733,77.3579292,76.3646169,75.561772,74.5113529,74.0827805,73.8081373
France,FRA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,72.9057592,71.142262,72.4278378,72.2518067,74.3068827,74.8593461,77.844343,74.7166668,75.1194295,74.8750592,74.3046227,72.9392482
France,FRA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,74.2924203,72.5184039,68.8591869,65.1849449,69.8226831,67.6768856,69.3801876,68.0652717,68.0151167,66.2332512,65.5737443,61.771486
Italy,ITA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,48.7063949,48.1208701,49.2267197,50.3897538,51.7990463,52.8685098,53.5807568,58.5820595,58.7737508,59.4705879,59.4218321,59.0516772
Italy,ITA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,66.1374628,66.5052142,64.9124893,64.8988136,64.520185,64.1711434,66.0800324,66.5103998,67.0932093,66.8431119,68.1612229,67.6216519
Italy,ITA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,62.5605715,60.8298032,64.1201032,64.8578067,64.8883338,63.6990094,65.9203005,62.3028255,63.9087126,64.3443586,65.8357262,64.9588526
Italy,ITA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,72.4331752,74.2540636,72.6352882,71.9044211,70.2390966,72.2549458,71.4003499,71.5703375,73.3970182,72.9400137,73.9866119,71.1675431
Greece,GRC,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,50.0778459,47.8948956,48.300791,49.648189,50.8239408,52.7293027,54.0093632,53.5422898,55.7703119,54.3827082,54.5203203,53.9208369
Greece,GRC,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,63.7583206,63.1757641,62.8102173,61.5190101,61.7475115,61.7795957,63.5706981,65.1052509,64.605187,65.3854549,63.7866683,62.0986924
Greece,GRC,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,59.1958272,57.2868182,58.5905075,57.2358955,57.3356875,59.3859975,61.4658678,61.8347455,61.1128813,61.5062946,62.9784621,62.4275979
Greece,GRC,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,63.2919773,64.6982098,63.8422013,63.2676633,66.0129396,71.8955182,70.6590444,71.0124183,69.7722104,69.9418272,72.4760005,68.2759168
Poland,POL,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,64.1927659,63.5183949,64.7705463,65.4782389,64.6441157,63.5788766,62.3529926,62.9185856,61.7601929,61.3638697,63.1064958,63.9280835
Poland,POL,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,71.1138154,72.1271593,71.3493887,69.9512118,67.6201563,66.3848598,66.0240098,64.8828903,64.0186411,63.0667016,63.0992023,66.8937579
Poland,POL,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,69.0928873,68.5171406,67.6749278,67.6559059,66.2486473,66.8854215,67.9175001,65.6740881,65.4865691,65.6980685,66.3020619,65.6793889
Poland,POL,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,82.0555123,83.9041429,84.0646826,75.6518937,76.1783691,76.6592008,77.4004756,75.3665626,75.5488506,75.0754802,74.5306813,74.4122187
India,IND,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,38.3250786,39.4755588,40.8716377,42.0814783,43.3121737,43.6453089,43.4354345,42.703618,41.7670443,41.9344499,41.0674847,41.8767696
India,IND,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,54.9689314,54.1139949,54.5995656,55.5475105,56.2764251,57.3146728,56.6186668,55.1924812,53.7961752,55.0631273,55.4517708,56.2895569
India,IND,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,48.9919988,48.8554278,49.6531841,50.8635602,51.4588982,52.4093503,53.3152922,52.5183166,52.1829925,53.4803007,52.8571419,53.3476378
India,IND,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,45.8934808,51.9299014,52.8796025,53.3186065,56.121815,54.3030106,55.8082856,53.5848591,55.618123,53.0233442,51.5804563,52.4723123
Pakistan,PAK,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,25.0008861,27.524714,27.9955138,28.1613224,28.9283045,28.3401745,28.1909519,28.8885035,29.5123294,28.7069653,26.6784275,26.2849685
Pakistan,PAK,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,38.9139045,40.2583667,41.2198719,41.2520559,42.0691874,42.5142321,42.9850137,42.972992,42.7982259,41.2878353,39.6801955,39.4597729
Pakistan,PAK,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,42.1529336,43.0580475,44.043468,44.4594518,44.3870689,44.4173043,45.0803111,43.8130901,44.5428148,42.7921461,41.8989333,42.3591418
Pakistan,PAK,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,20.3234763,23.8367345,24.3870695,26.0080143,28.0004036,31.9741236,32.9381408,38.7661403,37.7158986,35.9060416,32.7495326,30.6476878
Bangladesh,BGD,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,24.929229,23.8775902,25.9977736,26.2613123,26.3545731,25.660416,25.5760817,26.0737663,25.7330264,24.0032436,23.5908891,25.5454805
Bangladesh,BGD,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,40.1856326,42.3036437,42.2164095,41.3564922,41.0567713,41.3093968,40.7531366,41.5281449,40.1857393,40.2076588,41.4402154,40.4414129
Bangladesh,BGD,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,39.8878863,40.7237543,42.6114025,42.8886546,43.1432085,42.4744798,40.8335313,40.7595081,41.1231008,40.2892485,40.654144,39.8788257
Bangladesh,BGD,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,35.6292308,47.94144,43.1479364,42.9773902,43.1937902,48.3828183,48.8682227,48.5534122,47.8980425,47.1824874,48.1988033,40.9048506
Sri Lanka,LKA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,41.5729927,38.7431837,40.9451671,42.7737044,41.6238192,43.7112862,44.5365376,42.2674049,41.038766,40.7023234,40.0247663,40.066474
Sri Lanka,LKA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,50.8354953,50.759992,55.0627005,55.128929,55.042965,55.9734754,55.6205441,53.678349,52.9797493,51.2865827,51.5342172,52.5287187
Sri Lanka,LKA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,53.6578916,54.7627017,55.3461181,54.1602129,53.0174742,51.869403,51.9292761,53.092032,52.2929256,47.6567352,48.8697814,50.1437699
Sri Lanka,LKA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,51.2288469,56.4380535,64.381054,63.4408998,62.8347148,61.4578661,62.9256436,63.9229409,57.1667545,52.8761657,54.449499,59.9106677
China,CHN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,38.5837917,41.7532112,44.3109113,45.9730125,46.8579481,46.4348595,46.8505275,48.929991,48.9819814,48.7299338,50.1587695,49.649869
China,CHN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,43.2818347,45.0816784,45.5698342,46.2738931,47.7494062,48.0074945,47.4720196,48.1981013,47.69469,47.2602075,47.4599153,46.9942092
China,CHN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,50.7216584,52.1953952,52.0404678,52.5299811,53.7455019,53.434562,53.8861719,53.8120983,54.4733371,53.4303195,53.5713664,53.7384426
China,CHN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,56.2820438,56.9460927,56.5636835,57.3289648,62.4219089,61.8459925,63.5270765,60.7244539,61.4673891,61.6400806,62.9144825,63.2751622
Japan,JPN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,78.1758649,79.0135912,77.2168959,77.1095449,77.7326178,76.0098891,76.8716644,76.8027176,77.3143791,77.0417965,74.9337419,75.322857
Japan,JPN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,80.6025753,82.0354593,81.6796297,81.6394617,82.5949156,82.559088,82.987206,83.0196947,83.3298195,82.9264987,82.926836,82.9799844
Japan,JPN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,76.3028916,75.3576946,77.1186037,78.9740104,76.9203885,76.3835577,76.7638524,76.425199,76.8730443,77.1114908,76.9093801,75.8330279
Japan,JPN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,83.7939427,86.5722411,86.7789985,85.0237906,85.8692068,85.330928,84.9598388,85.2401102,85.7099533,87.6884434,87.5440509,85.270442
Australia,AUS,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,82.8742935,85.5670045,85.3916238,84.176233,84.1740874,83.6549548,84.0151407,80.3186803,81.8010164,82.8487082,84.4063894,85.3425462
Australia,AUS,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,85.1158602,86.779581,86.5290001,86.7190682,84.9097362,85.1195657,85.091495,83.678109,83.9886779,82.2979363,82.8355625,82.2713526
Australia,AUS,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,84.5216155,82.4143865,82.3013543,83.4731725,83.6562582,83.6957403,83.9863619,82.7534122,83.0307116,83.2556593,83.4581518,82.026233
Australia,AUS,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,82.2301614,83.3110083,79.6151444,82.1915809,79.2718127,80.9961371,80.3354191,81.0276612,80.4761134,81.294059,81.7023297,79.4447025
Indonesia,IDN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,33.1211278,33.3816303,37.269181,38.0931936,40.2284346,41.0105675,39.1944788,40.8581326,39.4300275,40.36113,38.8844656,36.8309801
Indonesia,IDN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,49.7362494,51.1401265,50.4036099,51.4261426,51.5158034,53.183197,53.6607218,54.417917,54.4919144,54.7424954,55.5576115,53.4090118
Indonesia,IDN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,54.0968292,54.9072168,52.6644356,55.4045544,56.443186,56.0213415,56.6131467,58.407906,60.2592563,59.296523,60.2378198,56.8298066
Indonesia,IDN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,55.3369189,59.3178371,56.6870383,57.9790701,55.9594851,56.6224801,55.9824787,56.6712515,54.7968926,52.8702435,55.4106465,55.4895207
Philippines,PHL,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,37.771084,36.0602614,35.9037134,35.44452,34.9637026,34.9238369,35.4840983,36.9393411,36.2283633,36.1659708,36.3367608,36.1832247
Philippines,PHL,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,48.8760395,50.7512541,49.5647499,48.8248033,46.7882711,45.9532714,45.8276987,46.0680376,45.3703225,46.0841106,46.6183464,47.0863157
Philippines,PHL,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,55.3616356,55.8035335,56.2476709,56.8522856,57.0205367,54.7822362,55.7876579,55.0858329,55.0969912,54.9385089,55.8622915,56.113404
Philippines,PHL,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,47.1997637,52.1306888,50.0628483,41.3367179,44.0426791,47.672128,48.650639,49.8113371,47.2142694,50.5373103,53.7824112,52.6707116
Brazil,BRA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,46.6228548,43.0944497,40.744618,40.4298743,38.3540827,39.6038112,40.3095121,41.0287424,39.6653253,38.6190444,38.7156512,39.5782583
Brazil,BRA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,54.6493028,54.5209402,53.0887791,54.4077541,52.1316368,50.0545424,50.3183068,50.2151562,49.923063,49.3948665,48.6517238,49.2849848
Brazil,BRA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,56.9133194,54.2871366,53.3435278,53.3451223,53.1856369,51.00996,53.2947815,52.4673449,52.480175,51.7253658,51.1409432,50.2174997
Brazil,BRA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,59.6486308,61.7708061,57.4235354,56.9027106,55.6089843,54.8735087,53.5594912,58.5933483,59.1936982,58.7919168,56.9850729,57.0022212
Argentina,ARG,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,37.3840031,34.3728744,34.7962848,43.4145878,44.2489681,47.7387342,46.1402602,45.1329544,41.22917,40.9679996,40.6877373,41.2619998
Argentina,ARG,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,47.0542246,44.4013496,48.9217959,52.8928335,53.9957849,53.4845358,51.145331,51.9641457,51.7343949,51.9503978,52.8724561,52.6382821
Argentina,ARG,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,41.6864639,38.8903487,42.2878376,50.8772845,52.9645137,51.8641165,47.779716,46.2329181,45.651899,45.7273179,46.8743591,51.156098
Argentina,ARG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,66.4491046,65.6687607,65.3668058,69.1957678,69.9838411,67.9516636,66.8707383,66.8381534,67.4693134,66.8790416,65.539658,62.9948599
Colombia,COL,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,38.9235722,40.3387065,41.4314416,40.3758051,39.5383299,41.405998,42.3435637,42.6636046,42.3947687,42.6648919,41.6000941,41.90949
Colombia,COL,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,48.6401238,49.8831049,50.0884527,50.9612969,50.6762137,49.701606,49.1724423,48.6606218,48.2391764,47.8491027,47.2427231,47.3311328
Colombia,COL,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,58.5861278,58.9045449,59.7437816,59.1675412,57.5180257,56.5795741,58.5270465,57.3994514,58.5939804,57.8029206,57.01675,55.0740059
Colombia,COL,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,43.7037921,48.8925418,49.5727208,50.9727937,52.5716247,54.5255309,50.4304751,54.2459136,48.5602739,52.0722697,52.2402416,49.3103253
Chile,CHL,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,76.8236292,75.9109364,71.0080764,70.1943404,70.3707838,70.3659016,71.2750258,72.4609793,71.0577107,71.0373983,68.740733,70.2378516
Chile,CHL,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,75.435652,75.1671116,74.2328028,73.9904554,73.6148869,73.4538309,72.6995012,69.6875662,69.9843269,69.7653654,68.4060469,68.8582581
Chile,CHL,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,78.5432046,75.7418312,74.1517046,74.9892096,74.4226276,73.4003225,71.8526052,68.9035577,68.6421149,67.9183786,68.2289179,67.1756362
Chile,CHL,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,75.7046809,78.1672106,77.4767227,76.036093,75.9626148,77.4109534,68.7252227,68.2219116,68.3937218,65.8191317,67.3918808,67.9673582
Saudi Arabia,SAU,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,44.2605847,42.7766758,45.000931,50.2916026,50.0814185,51.0050357,52.166833,54.3630881,52.642418,53.4564616,57.5090881,63.0932113
Saudi Arabia,SAU,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,53.4764502,49.4849731,52.3558045,53.5228864,51.2380399,52.9607246,54.0463,53.8782065,54.1098832,57.6414938,58.9708502,60.5850662
Saudi Arabia,SAU,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,59.1553247,57.9327825,58.6054982,57.8279089,56.4465642,56.1327398,57.6909104,57.5945518,60.9762692,63.6030924,64.4850665,66.0645617
Saudi Arabia,SAU,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,54.6158054,60.6225587,57.894166,57.2526665,54.4923157,55.6728063,56.4504428,56.4512285,57.9136458,59.7146785,61.7058738,65.0715555
Turkiye,TUR,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,50.688031,45.6504292,45.7015634,46.1425596,46.507721,43.1645279,44.2075641,41.2919795,39.7741275,39.101218,39.0000224,36.4544855
Turkiye,TUR,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,54.9868288,50.7499237,48.7487819,47.5698504,46.3736394,44.7632614,46.6891064,44.7460611,43.620488,43.5432566,43.2093397,42.4489468
Turkiye,TUR,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,62.415875,60.6809005,58.28807,57.2964845,57.1293832,55.6793272,54.6143904,52.2583184,52.9207969,51.2488229,51.536951,51.5312748
Turkiye,TUR,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,48.2631377,52.2324029,46.9449387,35.4862476,36.7492235,46.6927681,45.5253689,48.1362744,49.2892722,49.922523,50.7861106,49.3131044
"Egypt, Arab Rep.",EGY,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,36.4007969,36.1904813,36.4391364,38.8014874,39.6374668,38.2405904,34.6551366,31.8344504,31.9182645,32.1137471,31.3194268,31.1152849
"Egypt, Arab Rep.",EGY,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,43.2771413,42.5128363,42.5396523,42.4291768,43.6330552,44.2329876,44.0672159,43.3703097,42.8773177,43.6640534,43.5801616,44.0301801
"Egypt, Arab Rep.",EGY,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,43.2135348,43.1519585,43.2491735,42.7646518,43.692598,43.1497473,43.7779482,44.8386204,45.8709072,44.3195704,45.8231309,46.9854499
"Egypt, Arab Rep.",EGY,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,35.027376,40.1160411,39.967655,39.5891865,40.7648362,44.3372496,45.4490688,46.809485,47.6720665,49.5934665,50.5325121,49.1898949
"Iran, Islamic Rep.",IRN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,29.3382482,31.3205887,32.4788862,34.5728163,33.6625039,28.7856927,27.77613,25.4997346,25.0474517,24.943143,24.1493632,24.6329658
"Iran, Islamic Rep.",IRN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,36.2124626,35.3689075,40.1996627,40.2087225,40.986679,40.287143,38.8293982,39.2881443,38.5664651,37.5891123,36.3038979,35.7129133
"Iran, Islamic Rep.",IRN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,33.1834523,34.32944,37.6597221,38.2101857,37.7844457,34.4704144,33.404801,32.8938543,32.8834183,32.8202522,31.7039605,31.0266001
"Iran, Islamic Rep.",IRN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,45.7232421,53.4829674,52.4051184,54.8787562,53.9467875,49.3491312,44.4465189,45.0322128,46.1177041,46.3386888,44.2108184,38.8851649
South Africa,ZAF,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,47.1755317,47.5636975,48.0860951,48.4749937,46.238209,46.8965568,48.5628824,48.3743811,49.1616473,44.545875,43.6123698,43.9726469
South Africa,ZAF,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,57.3896237,58.1773817,57.7229004,58.1714096,57.2114826,55.7886824,55.6753499,55.9083277,59.0484877,57.5516367,57.6449634,57.2693915
South Africa,ZAF,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,64.7152677,61.1976038,59.510035,58.9811893,58.4851513,55.9437729,56.7364366,56.2807483,55.1425627,53.8802608,53.8835444,53.9146724
South Africa,ZAF,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,61.4826737,61.9534819,60.5909646,60.1223224,59.3550083,60.7804491,60.1164309,61.6419067,52.6765125,54.2056557,54.9671159,55.3527432
Nigeria,NGA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,23.8646457,21.5788968,24.3464186,25.7696636,24.6904923,24.6724591,25.065908,25.2281358,23.7485646,23.0571866,25.614826,25.2937973
Nigeria,NGA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,36.5552671,37.4818397,40.4273328,41.8286386,43.3029229,42.9582287,42.5472027,42.4852923,41.0219609,39.7570843,40.875305,39.6344736
Nigeria,NGA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,43.1766928,42.3399905,43.1887847,42.0092749,42.5913838,41.7722226,41.2266686,40.86723,41.0997371,39.1494195,41.8131115,44.8748237
Nigeria,NGA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,31.9138683,28.5617067,37.4061904,36.6837207,33.2722023,33.6874013,32.1888547,31.5768107,31.4992996,32.5405717,32.4832851,31.6874346
Kenya,KEN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,28.9365003,30.9697705,28.1966398,29.621069,29.6658756,30.9703838,31.4670524,32.6627583,33.4673896,32.6476662,32.4824001,31.6245639
Kenya,KEN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,44.2177716,47.4839243,45.9092551,46.4237862,47.5983445,48.1747412,47.3437741,47.0094475,49.2953078,49.6576378,49.606121,48.969788
Kenya,KEN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,46.8802939,49.7209476,50.2964925,51.2815533,51.7319567,50.1415335,49.4435078,47.605713,48.1628795,48.6976063,48.5754393,49.6019443
Kenya,KEN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,45.9646649,44.3174879,44.8701358,45.7526771,46.5544465,46.7693279,47.5288168,47.9541846,46.9300692,49.4578625,49.2970221,42.7371819
Ethiopia,ETH,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,36.3727482,36.8643462,37.3367897,39.0317349,36.419411,38.6140022,39.21469,40.3946318,39.7519469,39.6253199,38.4840333,38.9918024
Ethiopia,ETH,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,42.4071385,43.998762,43.1068707,43.2208451,43.4972869,43.301479,43.5958009,42.9561135,40.6411603,41.1619717,39.0773855,38.9119872
Ethiopia,ETH,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,38.0153866,40.599395,40.6230821,39.7007616,40.6914544,41.514773,41.8028238,41.9953724,42.7432106,42.5363368,41.6562884,41.7214465
